instance_name,configLB,configValSplit,lastNDCpu
Kirlik14-ILP_p-5_n-20_m-10_ins-2,WLP,mofv,504.125
Kirlik14-ILP_p-5_n-20_m-10_ins-2,WLP,rand,541.685
Kirlik14-ILP_p-5_n-20_m-10_ins-3,WLP,med,3597.4
Kirlik14-ILP_p-5_n-20_m-10_ins-3,WLP,mofv,3585
Kirlik14-ILP_p-5_n-20_m-10_ins-3,WLP,rand,2957.2
Kirlik14-ILP_p-5_n-20_m-10_ins-4,WLP,med,3595.34
Kirlik14-ILP_p-5_n-20_m-10_ins-4,WLP,mofv,3572.53
Kirlik14-ILP_p-5_n-20_m-10_ins-4,WLP,rand,3565.22
Kirlik14-ILP_p-5_n-20_m-10_ins-5,WLP,med,3337.61
Kirlik14-ILP_p-5_n-20_m-10_ins-5,WLP,mofv,1575.56
Kirlik14-ILP_p-5_n-20_m-10_ins-5,WLP,rand,1737.29
Kirlik14-ILP_p-5_n-20_m-10_ins-6,WLP,med,160.27
Kirlik14-ILP_p-5_n-20_m-10_ins-6,WLP,mofv,126.933
Kirlik14-ILP_p-5_n-20_m-10_ins-6,WLP,rand,104.582
Kirlik14-ILP_p-5_n-20_m-10_ins-7,WLP,med,3600.01
Kirlik14-ILP_p-5_n-20_m-10_ins-7,WLP,mofv,3176.05
Kirlik14-ILP_p-5_n-20_m-10_ins-7,WLP,rand,3533.15
Kirlik14-ILP_p-5_n-20_m-10_ins-8,WLP,med,1381.11
Kirlik14-ILP_p-5_n-20_m-10_ins-8,WLP,mofv,1117.56
Kirlik14-ILP_p-5_n-20_m-10_ins-8,WLP,rand,823.274
Kirlik14-ILP_p-5_n-20_m-10_ins-9,WLP,med,3532.16
Kirlik14-ILP_p-5_n-20_m-10_ins-9,WLP,mofv,3505.1
Kirlik14-ILP_p-5_n-20_m-10_ins-9,WLP,rand,3583.1
Kirlik14-ILP_p-3_n-10_m-5_ins-1,WLP,med,1.02456
Kirlik14-ILP_p-3_n-10_m-5_ins-1,WLP,mofv,0.816425
Kirlik14-ILP_p-3_n-10_m-5_ins-1,WLP,rand,1.16791
Kirlik14-ILP_p-3_n-10_m-5_ins-10,WLP,med,0.250995
Kirlik14-ILP_p-3_n-10_m-5_ins-10,WLP,mofv,0.340028
Kirlik14-ILP_p-3_n-10_m-5_ins-10,WLP,rand,0.443597
Kirlik14-ILP_p-3_n-10_m-5_ins-2,WLP,med,0.907965
Kirlik14-ILP_p-3_n-10_m-5_ins-2,WLP,mofv,1.41396
Kirlik14-ILP_p-3_n-10_m-5_ins-2,WLP,rand,1.75385
Kirlik14-ILP_p-3_n-10_m-5_ins-3,WLP,med,2.15562
Kirlik14-ILP_p-3_n-10_m-5_ins-3,WLP,mofv,1.96394
Kirlik14-ILP_p-3_n-10_m-5_ins-3,WLP,rand,1.96156
Kirlik14-ILP_p-3_n-10_m-5_ins-4,WLP,med,4.31857
Kirlik14-ILP_p-3_n-10_m-5_ins-4,WLP,mofv,3.98266
Kirlik14-ILP_p-3_n-10_m-5_ins-4,WLP,rand,4.18311
Kirlik14-ILP_p-3_n-10_m-5_ins-5,WLP,med,1.91267
Kirlik14-ILP_p-3_n-10_m-5_ins-5,WLP,mofv,1.6701
Kirlik14-ILP_p-3_n-10_m-5_ins-5,WLP,rand,1.6896
Kirlik14-ILP_p-3_n-10_m-5_ins-6,WLP,med,0.135372
Kirlik14-ILP_p-3_n-10_m-5_ins-6,WLP,mofv,0.136425
Kirlik14-ILP_p-3_n-10_m-5_ins-6,WLP,rand,0.1367
Kirlik14-ILP_p-3_n-10_m-5_ins-7,WLP,med,1.40065
Kirlik14-ILP_p-3_n-10_m-5_ins-7,WLP,mofv,1.01191
Kirlik14-ILP_p-3_n-10_m-5_ins-7,WLP,rand,1.24244
Kirlik14-ILP_p-3_n-10_m-5_ins-8,WLP,med,8.03521
Kirlik14-ILP_p-3_n-10_m-5_ins-8,WLP,mofv,7.17053
Kirlik14-ILP_p-3_n-10_m-5_ins-8,WLP,rand,6.41539
Kirlik14-ILP_p-3_n-10_m-5_ins-9,WLP,med,0.759191
Kirlik14-ILP_p-3_n-10_m-5_ins-9,WLP,mofv,0.875985
Kirlik14-ILP_p-3_n-10_m-5_ins-9,WLP,rand,0.558122
Kirlik14-ILP_p-3_n-20_m-10_ins-1,WLP,med,22.16
Kirlik14-ILP_p-3_n-20_m-10_ins-1,WLP,mofv,21.9352
Kirlik14-ILP_p-3_n-20_m-10_ins-1,WLP,rand,20.1547
Kirlik14-ILP_p-3_n-20_m-10_ins-10,WLP,med,20.1262
Kirlik14-ILP_p-3_n-20_m-10_ins-10,WLP,mofv,20.0827
