instance,p,n,configLB,configNodeSel,configOB,configValSplit,solved,YN,cpuTotal,nbLpSolved,cpuInitialization,cpuCplex,cpuUpdatePolyhedron,nbNodes,minDepth,maxDepth,avgDepth,nbFathomedInfeas,nbFathomedOptimality,nbFathomedDominance,cpuDominanceTest,cpuUbUpdate,cpuLbComputation,cpuComputeOb,cpuVarSel,cpuNodeSel,cpuLbCopy
Forget21-PPP_13_4_1-100_1-100_1-2500_1_50_random_7_7.txt,4,39,WLP,breadth,noOB,rand,1,233,8.65003,44270,0.0007782,7.37287,0.705396,3897,1,40,17.1519,276,343,1330,0.0222091,0.0215932,8.46468,0.0005433,0.088886,0.0006383,0.0772946
Forget21-PPP_13_4_1-100_1-100_1-2500_1_50_random_8_8.txt,4,39,WLP,breadth,noOB,med2,1,1225,48.7988,238936,0.000777,38.0523,3.38165,40217,1,84,30.0961,6114,1616,12379,1.82502,0.509978,45.0999,0.0059635,0.852377,0.0073243,0.729915
Forget21-PPP_13_4_1-100_1-100_1-2500_1_50_random_8_8.txt,4,39,WLP,breadth,noOB,mofvRevisited2,1,1225,38.6674,198423,0.0007692,29.795,2.88819,31923,1,53,28.2807,4779,1996,9187,1.47028,0.492547,35.623,0.0051964,0.687748,0.0057658,0.582452
Forget21-PPP_13_4_1-100_1-100_1-2500_1_50_random_8_8.txt,4,39,WLP,breadth,noOB,rand,1,1225,40.2974,197054,0.0008167,31.6073,2.87822,31467,1,50,28.0174,4699,1965,9070,1.37938,0.484152,37.3837,0.0049931,0.664973,0.0060539,0.572539
Forget21-PPP_13_4_1-100_1-100_1-2500_1_50_random_9_9.txt,4,39,WLP,breadth,noOB,med2,1,1246,13.2884,63827,0.0008499,10.9005,1.13292,6887,1,31,19.5714,285,1316,1843,0.173387,0.17182,12.704,0.0009565,0.155648,0.0012456,0.13389
Forget21-PPP_13_4_1-100_1-100_1-2500_1_50_random_9_9.txt,4,39,WLP,breadth,noOB,mofvRevisited2,1,1246,12.6406,65449,0.0011982,10.161,1.15889,7213,1,37,20.7569,287,1432,1888,0.196127,0.180988,12.0136,0.0010617,0.165019,0.0012578,0.140748
Forget21-PPP_13_4_1-100_1-100_1-2500_1_50_random_9_9.txt,4,39,WLP,breadth,noOB,rand,1,1246,13.2644,65605,0.000765,10.7886,1.15093,7221,1,39,20.7721,284,1393,1934,0.197791,0.18109,12.632,0.0009984,0.160818,0.00123,0.13882
Forget21-PPP_21_3_1-100_1-100_1-2500_1_50_random_10_10.txt,3,63,WLP,breadth,noOB,med2,1,229,607.016,2674327,0.0007211,556.659,22.3794,104785,1,48,16.881,12,282,52099,0.155502,0.700852,600.621,0.0163532,3.7493,0.0351918,2.93377
Forget21-PPP_21_3_1-100_1-100_1-2500_1_50_random_10_10.txt,3,63,WLP,breadth,noOB,mofvRevisited2,1,229,578.115,2674365,0.0007631,527.704,22.3521,104799,1,47,16.8865,12,289,52099,0.153122,0.699056,571.812,0.0160742,3.66443,0.0349422,2.93109
Forget21-PPP_21_3_1-100_1-100_1-2500_1_50_random_10_10.txt,3,63,WLP,breadth,noOB,rand,1,229,594.084,2674349,0.0035532,543.769,22.3512,104793,1,47,16.8857,12,282,52103,0.159852,0.701866,587.748,0.0166015,3.6788,0.0343725,2.94764
